,lat,lon,Logement,Coût_chauffage,Surface_habitable_logement,Etiquette_DPE,Année_construction,Coût_total_5_usages
929,45.732658,4.855576,neuf,83.4,19.9,C,2024.0,205.0
930,45.745354,4.86409,neuf,393.0,68.6,C,2024.0,641.1
931,45.733823,4.853065,neuf,193.8,62.1,C,2024.0,469.6
932,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
933,45.733802,4.852669,neuf,110.8,78.6,B,2024.0,372.7
934,45.733823,4.853065,neuf,107.2,60.8,B,2024.0,381.3
935,45.732658,4.855576,neuf,75.3,19.9,C,2024.0,196.9
936,45.733676,4.852691,neuf,122.7,40.0,C,2024.0,343.1
937,45.733676,4.852691,neuf,142.1,41.8,C,2024.0,369.1
938,45.733676,4.852691,neuf,164.5,60.9,B,2024.0,453.6
939,45.733676,4.852691,neuf,116.0,44.6,C,2024.0,353.4
940,45.733676,4.852691,neuf,106.7,29.6,C,2024.0,288.9
941,45.745354,4.86409,neuf,393.8,68.7,C,2024.0,642.3
942,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
943,45.732658,4.855576,neuf,90.0,29.5,B,2024.0,237.9
944,45.733676,4.852691,neuf,124.6,42.1,C,2024.0,352.7
945,45.732658,4.855576,neuf,54.0,19.6,B,2024.0,174.8
946,45.733791,4.852379,neuf,203.9,44.5,B,2024.0,262.0
947,45.73067,4.871853,neuf,182.2,64.0,C,2024.0,396.6
948,45.733676,4.852691,neuf,134.9,45.9,C,2024.0,376.8
949,45.732658,4.855576,neuf,206.5,48.7,B,2024.0,406.9
950,45.733823,4.853065,neuf,186.5,44.4,C,2024.0,418.0
951,45.73067,4.871853,neuf,397.4,95.8,C,2024.0,666.7
952,45.733823,4.853065,neuf,143.3,62.1,C,2024.0,419.1
953,45.733676,4.852691,neuf,134.9,40.7,C,2024.0,357.9
954,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
955,45.73067,4.871853,neuf,188.8,42.0,C,2024.0,359.6
956,45.732658,4.855576,neuf,193.6,46.1,B,2024.0,387.0
957,45.732658,4.855576,neuf,70.6,19.9,C,2024.0,192.3
958,45.732658,4.855576,neuf,181.7,67.9,B,2024.0,447.3
959,45.733676,4.852691,neuf,92.5,35.2,C,2024.0,295.2
960,45.733676,4.852691,neuf,107.9,45.0,C,2024.0,346.5
961,45.745354,4.86409,neuf,342.8,59.8,C,2024.0,573.8
962,45.733676,4.852691,neuf,92.5,28.1,C,2024.0,269.2
963,45.732658,4.855576,neuf,54.7,19.9,B,2024.0,176.3
965,45.734436,4.854402,neuf,157.3,61.4,B,2024.0,386.3
966,45.734436,4.854402,neuf,141.9,48.0,B,2024.0,343.0
967,45.734436,4.854402,neuf,172.6,82.2,A,2024.0,439.9
968,45.734436,4.854402,neuf,175.6,84.2,A,2024.0,446.6
969,45.734436,4.854402,neuf,125.2,43.1,B,2024.0,313.6
970,45.734436,4.854402,neuf,175.6,84.2,A,2024.0,446.6
971,45.734436,4.854402,neuf,213.9,82.6,B,2024.0,481.9
972,45.734436,4.854402,neuf,102.0,42.5,B,2024.0,290.1
973,45.734436,4.854402,neuf,127.5,43.1,B,2024.0,315.9
974,45.734436,4.854402,neuf,98.2,43.9,B,2024.0,290.8
975,45.734436,4.854402,neuf,157.2,61.4,B,2024.0,386.2
976,45.734436,4.854402,neuf,149.1,60.9,B,2024.0,377.2
977,45.734436,4.854402,neuf,510.8,136.6,B,2024.0,874.6
978,45.734436,4.854402,neuf,159.3,63.4,B,2024.0,392.1
979,45.734436,4.854402,neuf,74.6,32.2,B,2024.0,235.6
980,45.734436,4.854402,neuf,188.3,63.0,B,2024.0,420.3
981,45.734436,4.854402,neuf,127.1,52.5,B,2024.0,337.9
982,45.734436,4.854402,neuf,111.2,49.7,B,2024.0,316.7
983,45.734436,4.854402,neuf,102.0,42.5,B,2024.0,290.1
984,45.734436,4.854402,neuf,190.0,62.1,B,2024.0,418.2
985,45.734436,4.854402,neuf,149.1,60.9,B,2024.0,377.2
986,45.734436,4.854402,neuf,98.2,43.9,B,2024.0,290.8
987,45.734436,4.854402,neuf,286.9,87.9,B,2024.0,564.6
988,45.734436,4.854402,neuf,157.0,63.4,B,2024.0,389.8
989,45.734436,4.854402,neuf,288.5,106.7,A,2024.0,597.9
990,45.734436,4.854402,neuf,128.4,48.7,B,2024.0,331.3
